slang,normalisasi
sii,sih
silahturaminya,silaturahimnya
sistim,sistem
situ,anda
sj,saja 
sj,saja
sja,saja
sjh,saja
skali,sekali
skarang,sekarang
skian,sekian
skl,selalu
skla,sekala
skolah,sekolah
skr,sekarang
skrang,sekarang
skrg,sekarang
skrng,sekarang
slalu,selalu
slama,selama
slang,normalisasi
sling,saling
sll,selalu
sllu,selalu
slm,selama
slma,selama
slmt,selamat
sluruh,seluruh
sm,sama
sma,sama
smentara,sementara
smg,semoga
smga,semoga
smoga,semoga
smpai,sampai
smpe,sampai
smua,semua
smuanya,semuanya
smw,semua
sndiri,sendiri
sndirinya,sendirinya
sni,sini
sno,sana
snoga,semoga
sobatku,sahabatku
sodara,saudara
sodara2,saudara-saudara
sogeh,kaya
sok2an,sok-sokan
sonoh,sana
sosok2,sosok-sosok
spakat,sepakat
sperti,seperti
sperti ,seperti
sprti,seperti 
sprti,seperti
spt,seperti
spy,supaya
srentak,serentak
srharusnya,seharusnya
starakan,setarakan
stetmen,statement
stidaknya,setidaknya
stiril,steril
stlh,setelah
stress,stres
stuju,setuju
suaea,suara
sudah2,sudah-sudah
sudang,sedang
sudh,sudah
sunami,tsunami
sunber,sumber
sungguh2,sungguh-sungguh
surat2,surat-surat
susa,susah
sx,sekali
sy,saya
sya,saya
syah,sah
syahkan,sahkan
syetan,setan
syhkn,sahkan
system,sistem
syukur2,syukur-syukur
syur,suara
t.jwwb,tanggung jawab
tahana,tahanan
tahun,dapat
tai,tahi
tai2,tahi-tahi
taik,tahi
tailand,thailand
taka,tak
tambah2,tambah-tambah
tanggungjawab,tanggung jawab
tankapa,tangkap
tapii,tapi
targed,target
taruskan,teruskan
tatanna,tatanan
tau,tahu
tbtb,tiba-tiba
tdak,tidak
tdk,tidak
tegu,teguh
tekecoh,terkecoh
telalu,terlalu
telek2,tahi
tembanga,tembaga
temen2,teman-teman
temen2ku,temen-temenku
tengah2,tengah-tengah
terakit,terkait
teraniyaya,teraniaya
tercintaaa,tercinta
tergopoh2,tergopoh-gopoh
teriak2,teriak-teriak
terima2,terima-terima
terlali,terlalu
teroooos,terus
teroosss,terus
teros,terus
terossss,terus
tertidasan.mari,tertindas mari
tertidasan.mari,tertindas
teruss,terus
terusss,terus
terussss,terus
terusssss,terus
terwujub,terwujud
teta,tetap
tetapberisik,tetap berisik
tgl,tanggal
th,tahun
thd,terhadap
thn,tahun
thu,tahu
thun,tahun
thx,terima kasih
tida,tidak
tidah,tidak
tidakbergerak,tidak bergerak
tikus2,tikus
tikus2,tikus-tikus
tim2,tim-tim 
timbak,tembak
tingal,tinggal
titikkkkkkk,titik
tiugastni,tugas tni
tk,tidak
tk,tak
tks,terima kasih
tksh,terima kasih
tlg,tolong
tll,terlalu
tmn2,teman-teman
tnp ,tanpa
tnpa,tanpa
todak,tidak
tolol,bodoh
tp,tapi
tpi,tapi
tranparan,transparan
transparasi,transparansi
transparency,transparansi
trhdap,terhadap
trhdp,terhadap
triak,teriak
trik,terima
trilyun,triliun
trima,terima
trimakasih,terima kasih
trims,terima kasih
trlalu,terlalu
trmasuk,termasuk
trnaposrtasi,transportasi
tros,terus
trs,terus
trskn,teruskan
trtentu,tertentu
trtindas,tertindas
trus,terus
truss,terus
trusss,terus
truuuus,terus
trz,terus
tsb,tersebut
tsik,tahi
ttep,tetap
ttg,tentang
ttp,tetap
tu,itu
tu,tuh
tuhannnnn,tuhan
tuk,untuk
tunggain,tunggangin
tunjangan2,tunjangan
tunjangan2,tunjangan-tunjangan
tunjngn,tunjangan
tunkangan,tunjangan
tuntan,tuntutan
tuntang,tuntutan
tuntuan,tuntutan
tuntuntanx,tuntutannya
tuntutan17,tuntutan 17
tuntutan2,tuntutan-tuntutan
tuntutan2nya,tuntutan-tuntutannya
tuntutannyasalam,tuntutannya
tuntuttan,tuntutan
tuntuttuntan,tuntutan
turu,tidur
tutut,tuntut
tututan,tuntutan
tuu,tuh
tuuuuh,tuh
tuuuuuu,itu
u,untuk
uda,udah
uda,udah8
udahhh,sudah
udd,uud
udeeel,udel
uga,juga
ujung2,ujung-ujungnya
ujung2,ujung-ujung
ujung2nya,ujung-ujungnya
umkm2,umkm-umkm
umrohnyadari,umrohnya dari
undang2,undang-undang
undang2,undang2
undangan2,undang-undang
unt,untuk
untk,untuk
untu,untuk
uoayah,upaya
urat2,urat-urat
urgen,darurat
urgent,darurat
urus,peduli
ush,usah
ut,untuk
utamny,utamanya
utk,untuk
uu,undang-undang
uud,uu
uudang,undang-undang
uudh,udah
uuprampasan,uu perampasan
uwes,sudah
va,ya
versatu,bersatu
waahh,wah
waili,wakili
wajar2wae,wajar-wajar saja
wakil2,wakil-wakil
walaikumsalam,waalaikumsalam
walo,walau
wang,uang
waooow,wow
wargaindonesia,warga indonesia
wasilitas,fasilitas
wedele,pusar
wellcome,terbuka
wilayat,wilayah
wkt,waktu
wktu,waktu
wlupun,walaupun
wlw,walau
wowo,prabowo
wrwb,assalamualaikum
x,kali
yaa,ya
yaaa,ya
yakk,yak
yaqin,yakin
yg,yang
ygakan,yang akan
yh,yah
yng,yang
yo,ayo
yok,yuk
yuap,nyuap
yuntutsnya,tuntutannya
ywng,yang 
zhalim,zalim
zolim,zalim
